type, prep, exec, finish
move-cursor, 0.2, 0.239548698098673, 0.289548698098673
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.249964215447916, 0.299964215447916
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.211304808824253, 0.261304808824253
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.326551716906559, 0.376551716906559
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.273529138929326, 0.323529138929326
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0962312809717805, 0.146231280971781
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.236954565715324, 0.286954565715324
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.211208528552606, 0.261208528552606
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0940246955765252, 0.144024695576525
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.168204628987148, 0.218204628987148
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.186282764149869, 0.236282764149869
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.21394721729099, 0.26394721729099
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.246749735877946, 0.296749735877946
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.258757143421511, 0.308757143421511
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.154299677601604, 0.204299677601604
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.213625057909692, 0.263625057909692
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.299990211391482, 0.349990211391482
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.132538431561811, 0.182538431561811
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.209113762390218, 0.259113762390218
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.244685588607773, 0.294685588607773
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.313247628080448, 0.363247628080448
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.23683624750803, 0.28683624750803
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.400447333145303, 0.450447333145303
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0964585613765029, 0.146458561376503
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.218445590932043, 0.268445590932043
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.43186912171448, 0.48186912171448
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.216169668479336, 0.266169668479336
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.153651925712387, 0.203651925712387
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0871760145807458, 0.137176014580746
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.150241150431392, 0.200241150431392
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.176103420793426, 0.226103420793426
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.14899335214839, 0.19899335214839
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.231616252059502, 0.281616252059502
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.287959939338255, 0.337959939338255
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.292810957449418, 0.342810957449418
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.193443823422263, 0.243443823422263
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.343919076304801, 0.393919076304801
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.289392556600395, 0.339392556600395
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.140067536275264, 0.190067536275264
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.252801107765602, 0.302801107765602
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.221768976250678, 0.271768976250678
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.168276018219982, 0.218276018219982
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.128488607536914, 0.178488607536914
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.240081770661378, 0.290081770661378
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0954942061904646, 0.145494206190465
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.310342382941599, 0.360342382941599
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.430311636133374, 0.480311636133374
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.183770728885164, 0.233770728885164
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.382078235286258, 0.432078235286258
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.220430755385157, 0.270430755385157
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.231604581153353, 0.281604581153353
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0930132576758633, 0.143013257675863
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.169036592599158, 0.219036592599158
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.102711355884071, 0.152711355884071
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.264631694542859, 0.314631694542859
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.125630384720202, 0.175630384720202
move-cursor, 0.2, 0.141895419587286, 0.191895419587286
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.299486013455556, 0.349486013455556
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.122344409790256, 0.172344409790256
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.207663449597495, 0.257663449597495
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.0916967994817042, 0.141696799481704
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.207113587381903, 0.257113587381903
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.364644838639013, 0.414644838639013
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.210122279541806, 0.260122279541806
click-mouse, 0.15, 0.01, 0.1
move-cursor, 0.2, 0.333265291851014, 0.383265291851014
click-mouse, 0.15, 0.01, 0.1
